2024.04.01 19:23:19.380505 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//sr/bomber-ceket-y-s5336 
2024.04.01 19:23:24.045869 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68619
2024.04.01 19:23:24.248911 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//bebekonfor/krem-fransiz-dantelli-uyku-seti-ile-dogal-ahsap-sepet-besik-bersava-p-4702283 
2024.04.01 19:24:17.420769 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//mandolin-rende-y-s19232 
2024.04.01 19:24:22.425711 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 69161
2024.04.01 19:24:22.616549 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//mobilique/ilgaz-7rafli-cok-amacli-dolap-p-805780626 
2024.04.01 19:24:28.193285 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 69201
2024.04.01 19:24:28.382010 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//apliqa/lema-6-li-eskitme-modern-yemek-masasi-ustu-yatak-odasi-salon-avize-p-88456051 
2024.04.01 19:24:33.564565 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 69231
2024.04.01 19:24:33.753051 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//ulker/5-buyukler-paket-seti-p-208313828 
2024.04.01 19:24:40.272860 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 69310
2024.04.01 19:24:40.461089 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//fanatik-market/besiktas-tisort-p-785777524 
2024.04.01 19:24:45.874575 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 69354
2024.04.01 19:24:46.064899 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//ge-living/dekoratif-zebra-desenli-kirlent-ozel-tasarim-kadife-yastik-kilifi-p-252233571 
2024.04.01 19:24:51.430952 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 69431
2024.04.01 19:24:51.621009 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//besiktas-yatak-ortusu-y-s15288 
2024.04.01 19:24:55.957525 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 69458
2024.04.01 19:24:56.155760 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//aeg/ws-10-125-s-1000-w-125-mm-avuc-taslama-makinesi-p-771423190 
2024.04.01 19:25:00.791784 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 69475
2024.04.01 19:25:00.982438 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//betimoda/kadin-pijama-alti-kurdeleli-capali-lacivert-p-671525383 
2024.04.01 19:25:06.239690 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 69536
2024.04.01 19:25:06.432941 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//puskullu-elbise-y-s20199 
2024.04.01 19:25:10.805784 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 69605
2024.04.01 19:25:11.006242 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//lc-waikiki-sapka-x-b859-c1181 
