2024.04.01 18:30:56.572867 | INFO | Main | MainInit | Program başlatılıyor.
2024.04.01 18:30:56.572867 | INFO | Main | MainStarted | Program başlatıldı.
2024.04.01 18:30:56.573865 | INFO | Main | SelectedMining | Mining seçildi.
2024.04.01 18:30:56.573865 | INFO | Miner | CreatedMiner | Yeni Miner oluşturuldu.
2024.04.01 18:30:56.573865 | INFO | Miner | MinerDidSetID | Miner'e ID:0 verildi.
2024.04.01 18:30:56.573865 | INFO | Miner | MinerInitializing | Miner(0) | Başlatılıyor.
2024.04.01 18:30:56.574867 | INFO | Miner | MinerStarted | Miner(0) | Başlatıldı.
2024.04.01 18:30:58.609346 | INFO | Miner | MinerCheckedTables | Miner(0) | Tabloları kontrol etti.
2024.04.01 18:30:58.609854 | INFO | Browser | BrowserOpen | Miner(0) | Tarayıcı açılıyor.
2024.04.01 18:30:59.203194 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com/ 
2024.04.01 18:31:03.944267 | ERROR | Database | AddingSomeVisitedLink | Miner(0) | Aynı link eklemeye çalışıldı: https://www.trendyol.com/
2024.04.01 18:31:04.036459 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 41785
2024.04.01 18:31:04.242823 | INFO | Miner | GetRandomURL | Miner(0) | URL: /jack-jones-erkek-spor-t-shirt-x-b179-g2-c101459
2024.04.01 18:31:04.242823 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//jack-jones-erkek-spor-t-shirt-x-b179-g2-c101459 
2024.04.01 18:31:09.008171 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 41817
2024.04.01 18:31:09.218709 | INFO | Miner | GetRandomURL | Miner(0) | URL: /forever-new-elbise-x-b143-c56
2024.04.01 18:31:09.219807 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//forever-new-elbise-x-b143-c56 
2024.04.01 18:31:13.066422 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 41822
2024.04.01 18:31:13.275336 | INFO | Miner | GetRandomURL | Miner(0) | URL: /mavi-erkek-sort-x-b43-g2-c119
2024.04.01 18:31:13.275336 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//mavi-erkek-sort-x-b43-g2-c119 
2024.04.01 18:31:17.064399 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 41846
2024.04.01 18:31:17.280333 | INFO | Miner | GetRandomURL | Miner(0) | URL: /townew/t-air-lite-tam-otomatik-akilli-cop-kovasi-p-108198477
2024.04.01 18:31:17.282334 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//townew/t-air-lite-tam-otomatik-akilli-cop-kovasi-p-108198477 
2024.04.01 18:31:22.759175 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 41898
