2024.04.01 19:19:42.574549 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//qisso/palazzo-bej-bol-paca-kot-pantolon-p-791058062 
2024.04.01 19:19:46.859121 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66925
2024.04.01 19:19:47.036884 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//multipower-whey-protein-x-b105670-c164016 
2024.04.01 19:19:50.440920 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66948
2024.04.01 19:19:50.615943 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//holly-lolly/kadin-kahverengi-citcit-kapamali-astarli-neeko-deri-ceket-p-158066844 
2024.04.01 19:19:54.660631 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67033
2024.04.01 19:19:54.849602 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//black-decker-matkap-x-b108171-c105661 
2024.04.01 19:19:58.015579 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67116
2024.04.01 19:19:58.200697 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//note-cosmetics/matte-queen-lipstick-kalici-likit-ruj-16-royal-velvet-kirmizi-p-773809199 
2024.04.01 19:20:02.616162 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67154
2024.04.01 19:20:02.792494 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//decomia-home/dijital-kaymaz-iskandinav-yikanabilir-siyah-gri-bej-salon-halisi-mutfak-halisi-balkon-halisi-yolluk-p-743529144 
2024.04.01 19:20:07.178006 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67200
2024.04.01 19:20:07.356140 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//pantolon-x-c70 
2024.04.01 19:20:11.140897 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67249
2024.04.01 19:20:11.321363 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//cerrahi-eldiven-y-s10512 
2024.04.01 19:20:15.533404 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67290
2024.04.01 19:20:15.712189 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//kece-canta-y-s11302 
2024.04.01 19:20:19.113523 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67368
2024.04.01 19:20:19.293551 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//bruder/new-holland-t7-315-traktor-br03120-p-3481102 
2024.04.01 19:20:24.556743 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67426
2024.04.01 19:20:24.742442 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//mudo/ci-cek-desenli-mi-di-etek-p-649453672 
2024.04.01 19:20:28.574538 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67467
2024.04.01 19:20:28.759263 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//arzum/ar-1027-blender-orijinal-cirpma-teli-adaptoru-p-53523201 
2024.04.01 19:20:33.283169 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67513
2024.04.01 19:20:33.468702 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//buyuk-beden-tayt-x-c108858 
2024.04.01 19:20:38.888544 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67564
2024.04.01 19:20:39.066693 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//craft-and-arts/sadece-kagit-kesen-cocuk-makasi-p-120299859 
2024.04.01 19:20:44.063149 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67613
2024.04.01 19:20:44.241440 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//glade-oda-kokusu-x-b109656-c105571 
2024.04.01 19:20:47.974832 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67665
2024.04.01 19:20:48.156710 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//powerway/32-gb-hafiza-karti-adaptor-dahil-p-6745250 
2024.04.01 19:20:52.402479 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67720
2024.04.01 19:20:52.586806 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//luxury-accessories-ist/ozel-tasarim-altin-yassi-kolye-seti-p-777747650 
2024.04.01 19:20:56.631813 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67767
2024.04.01 19:20:56.814571 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//philips/one-by-sonicare-pilli-dis-fircasi-mango-sari-hy1100-02-p-747827859 
2024.04.01 19:21:00.839299 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67825
2024.04.01 19:21:01.017103 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//soho/taba-suet-kadin-cizme-17549-p-442845685 
2024.04.01 19:21:04.906485 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67872
2024.04.01 19:21:05.091154 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//aluc-beauty/esek-sutu-tuzsuz-sampuan-p-704039769 
2024.04.01 19:21:08.136780 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67891
2024.04.01 19:21:08.337159 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//cestepe/banyo-lifi-4-lu-vucut-ve-yuz-lifi-el-gecmeli-lastikli-p-137197651 
2024.04.01 19:21:12.227287 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67927
2024.04.01 19:21:12.410138 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//uno/oyun-kartlari-108-adet-p-376265143 
