2024.04.01 19:21:28.149443 | INFO | Main | MainInit | Program başlatılıyor.
2024.04.01 19:21:28.149443 | INFO | Main | MainStarted | Program başlatıldı.
2024.04.01 19:21:28.150441 | INFO | Main | SelectedMining | Mining seçildi.
2024.04.01 19:21:28.151445 | INFO | Miner | CreatedMiner | Yeni Miner oluşturuldu.
2024.04.01 19:21:28.151445 | INFO | Miner | MinerDidSetID | Miner'e ID:0 verildi.
2024.04.01 19:21:28.151445 | INFO | Miner | MinerInitializing | Miner(0) | Başlatılıyor.
2024.04.01 19:21:28.151445 | INFO | Miner | MinerStarted | Miner(0) | Başlatıldı.
2024.04.01 19:21:30.205841 | INFO | Miner | MinerCheckedTables | Miner(0) | Tabloları kontrol etti.
2024.04.01 19:21:30.206841 | INFO | Browser | BrowserOpen | Miner(0) | Tarayıcı açılıyor.
2024.04.01 19:21:31.866736 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com/ 
2024.04.01 19:21:37.345298 | ERROR | Database | AddingSomeVisitedLink | Miner(0) | Aynı link eklemeye çalışıldı: https://www.trendyol.com/
2024.04.01 19:21:37.441182 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67955
2024.04.01 19:21:37.672575 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//networkavm/ithal-beyaz-bambu-zebra-stor-perde-etegi-duz-aluminyum-kasa-metal-ayak-p-471661267 
2024.04.01 19:21:42.768652 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67964
2024.04.01 19:21:42.999853 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//kly/v-yaka-boydan-dugmeli-kisa-kol-pijama-takim-p-717883881 
2024.04.01 19:21:47.714784 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67973
2024.04.01 19:21:47.946831 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//revolution/forever-flawless-bare-pink-far-paleti-p-761267457 
2024.04.01 19:21:53.665190 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67980
2024.04.01 19:21:53.915822 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//muggo/shelley-garantili-kut-burunlu-fiyonk-aksesuarli-kadin-kalin-topuklu-ayakkabi-p-808319661 
2024.04.01 19:21:59.069329 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 67990
2024.04.01 19:21:59.306949 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//nike-erkek-el-cantasi-x-b44-g2-c104145 
2024.04.01 19:22:02.798884 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68019
2024.04.01 19:22:03.030353 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//ozdeger-home/kelebekli-fon-perde-150x260-cm-1x3-pile-bej-gri-kelebek-nakis-isleme-salon-cocuk-odasi-perdesi-p-392876292 
2024.04.01 19:22:06.855193 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68036
2024.04.01 19:22:07.087548 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//akilli-cocuk-saati-x-c145774 
2024.04.01 19:22:11.080761 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68121
2024.04.01 19:22:11.317093 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//genius-store/store-erkek-polo-yaka-oversize-sweatshirt-yarim-fermuar-sweatshirt-p-768210629 
2024.04.01 19:22:16.094245 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68160
2024.04.01 19:22:16.323892 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//mu-bah/mubah-golden-star-full-ortopedik-yayli-yatak-p-329112971 
2024.04.01 19:22:20.347623 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68171
2024.04.01 19:22:20.578537 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//magaza/mezza-mobilya-m-520142 
2024.04.01 19:22:26.534040 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68188
2024.04.01 19:22:26.766401 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//lego/technic-6x6-volvo-mafsalli-kamyon-2-42114-p-125363392 
2024.04.01 19:22:31.272602 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68245
2024.04.01 19:22:31.503709 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//palmolive/moments-bogurtlen-750-ml-moments-sandal-agaci-750-ml-p-750800242 
2024.04.01 19:22:36.549524 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68277
2024.04.01 19:22:36.788693 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//prada/pr-08ys-1ab-5s0-51-kadin-gunes-gozlugu-p-221692933 
2024.04.01 19:22:44.308937 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68334
2024.04.01 19:22:44.541381 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//saten-alci-y-s13288 
2024.04.01 19:22:48.212194 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68382
2024.04.01 19:22:48.445158 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//diclepolat/silva-silver-3-kemer-detayli-topuklu-kadin-ayakkabi-p-796186553 
2024.04.01 19:22:54.814749 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68415
2024.04.01 19:22:55.044867 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//nike/air-zoom-structure-24-da8535-400-45-p-801840504 
2024.04.01 19:22:59.258885 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68448
2024.04.01 19:22:59.490841 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//zuzu-tekstil/d5213-erkek-compact-sports-boxer-p-816980544 
2024.04.01 19:23:04.553306 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68509
2024.04.01 19:23:04.785492 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//nur-ortopedi/90-lar-temali-doktor-hemsire-hastane-medikal-cerrahi-bone-p-129880840 
2024.04.01 19:23:09.523752 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68531
2024.04.01 19:23:09.755084 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//ekici/tam-yagli-beyaz-peynir-800gr-taze-kasar-peyniri-600gr-suzme-peynir-400gr-3-lu-lezzet-paket-p-264108729 
