2024.03.29 16:41:52.921574 | INFO | Main | MainInit | Program başlatılıyor.
2024.03.29 16:41:52.922657 | INFO | Main | MainStarted | Program başlatıldı.
2024.03.29 16:41:52.923630 | INFO | Main | SelectedMining | Mining seçildi.
2024.03.29 16:41:52.923630 | INFO | Miner | CreatedMiner | Yeni Miner oluşturuldu.
2024.03.29 16:41:52.923630 | INFO | Miner | MinerDidSetID | Miner'e ID:0 verildi.
2024.03.29 16:41:52.925175 | INFO | Miner | MinerInitializing | Miner(0) | Başlatılıyor.
2024.03.29 16:41:52.925175 | INFO | Miner | MinerStarted | Miner(0) | Başlatıldı.
2024.03.29 16:41:56.180272 | INFO | Miner | MinerCheckedTables | Miner(0) | Tabloları kontrol etti.
2024.03.29 16:41:56.181882 | INFO | Browser | BrowserOpen | Miner(0) | Tarayıcı açılıyor.
2024.03.29 16:41:56.796775 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com/ 
2024.03.29 16:42:08.336753 | ERROR | Database | DatabaseExecuteIntegrityError | Miner(0) | ERROR
2024.03.29 16:42:08.336753 | ERROR | Database | AddingSomeVisitedLink | Miner(0) | Aynı link eklemeye çalışıldı: https://www.trendyol.com/
2024.03.29 16:42:08.337749 | INFO | Database | AddedVisitedLink | Miner(0) | Site ziyaret edildi olarak ayarlandı: https://www.trendyol.com/
2024.03.29 16:42:08.439998 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 9974
2024.03.29 16:42:08.661701 | INFO | Miner | GetRandomURL | Miner(0) | URL: /bigjoy-sports/thermonator-l-carnitine-3000-mg-limon-aroma-1000-ml-l-karnitin-termojenik-kafein-p-742039413
2024.03.29 16:42:08.663295 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//bigjoy-sports/thermonator-l-carnitine-3000-mg-limon-aroma-1000-ml-l-karnitin-termojenik-kafein-p-742039413 
2024.03.29 16:42:30.111635 | INFO | Database | AddedVisitedLink | Miner(0) | Site ziyaret edildi olarak ayarlandı: /bigjoy-sports/thermonator-l-carnitine-3000-mg-limon-aroma-1000-ml-l-karnitin-termojenik-kafein-p-742039413
2024.03.29 16:42:30.229627 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 9992
2024.03.29 16:42:30.431965 | INFO | Miner | GetRandomURL | Miner(0) | URL: /xiaomi/mi-body-composition-scale-2-yag-olcer-fonksiyonlu-akilli-bluetooth-tarti-p-34034481
2024.03.29 16:42:30.432512 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//xiaomi/mi-body-composition-scale-2-yag-olcer-fonksiyonlu-akilli-bluetooth-tarti-p-34034481 
2024.03.29 16:43:00.922072 | INFO | Database | AddedVisitedLink | Miner(0) | Site ziyaret edildi olarak ayarlandı: /xiaomi/mi-body-composition-scale-2-yag-olcer-fonksiyonlu-akilli-bluetooth-tarti-p-34034481
2024.03.29 16:43:01.018773 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 10097
2024.03.29 16:43:01.225828 | INFO | Miner | GetRandomURL | Miner(0) | URL: /sr/saten-gomlek-y-s11955
2024.03.29 16:43:01.226855 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//sr/saten-gomlek-y-s11955 
2024.03.29 16:43:33.573666 | INFO | Database | AddedVisitedLink | Miner(0) | Site ziyaret edildi olarak ayarlandı: /sr/saten-gomlek-y-s11955
2024.03.29 16:43:33.671890 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 10177
