2024.03.30 16:39:32.520074 | INFO | Main | MainInit | Program başlatılıyor.
2024.03.30 16:39:32.521055 | INFO | Main | MainStarted | Program başlatıldı.
2024.03.30 16:39:32.523057 | INFO | Main | SelectedMining | Mining seçildi.
2024.03.30 16:39:32.523057 | INFO | Miner | CreatedMiner | Yeni Miner oluşturuldu.
2024.03.30 16:39:32.523057 | INFO | Miner | MinerDidSetID | Miner'e ID:0 verildi.
2024.03.30 16:39:32.524057 | INFO | Miner | MinerInitializing | Miner(0) | Başlatılıyor.
2024.03.30 16:39:32.524057 | INFO | Miner | MinerStarted | Miner(0) | Başlatıldı.
2024.03.30 16:39:34.845427 | INFO | Miner | MinerCheckedTables | Miner(0) | Tabloları kontrol etti.
2024.03.30 16:39:34.845427 | INFO | Browser | BrowserOpen | Miner(0) | Tarayıcı açılıyor.
2024.03.30 16:39:38.739344 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com/ 
2024.03.30 16:39:45.011451 | ERROR | Database | AddingSomeVisitedLink | Miner(0) | Aynı link eklemeye çalışıldı: https://www.trendyol.com/
2024.03.30 16:39:45.156071 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 39245
2024.03.30 16:39:45.375731 | INFO | Miner | GetRandomURL | Miner(0) | URL: /mts/motorsiklet-sele-koltuk-kilifi-fileli-p-131280352
2024.03.30 16:39:45.377255 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//mts/motorsiklet-sele-koltuk-kilifi-fileli-p-131280352 
2024.03.30 16:39:52.476886 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 39267
2024.03.30 16:39:52.727330 | INFO | Miner | GetRandomURL | Miner(0) | URL: /m-a-c/powder-kiss-ruj-kinda-soar-ta-773602588817-p-83134866
2024.03.30 16:39:52.727330 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//m-a-c/powder-kiss-ruj-kinda-soar-ta-773602588817-p-83134866 
2024.03.30 16:39:58.485763 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 39278
2024.03.30 16:39:58.699848 | INFO | Miner | GetRandomURL | Miner(0) | URL: /for-you-woman/piliseli-siyah-gomlek-p-354486753
2024.03.30 16:39:58.700849 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//for-you-woman/piliseli-siyah-gomlek-p-354486753 
2024.03.30 16:40:03.093082 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 39294
2024.03.30 16:40:03.417061 | INFO | Miner | GetRandomURL | Miner(0) | URL: /watsons/erkek-vucut-kol-ve-bacaklar-icin-tuy-dokucu-sprey-150-ml-x2-adet-p-217937234
2024.03.30 16:40:03.417576 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//watsons/erkek-vucut-kol-ve-bacaklar-icin-tuy-dokucu-sprey-150-ml-x2-adet-p-217937234 
2024.03.30 16:40:07.851970 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 39311
2024.03.30 16:40:08.062959 | INFO | Miner | GetRandomURL | Miner(0) | URL: /buyuk-beden-pijama-takimi-x-c109427
2024.03.30 16:40:08.062959 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//buyuk-beden-pijama-takimi-x-c109427 
2024.03.30 16:40:12.872101 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 39352
2024.03.30 16:40:13.109085 | INFO | Miner | GetRandomURL | Miner(0) | URL: /siyah-nitril-eldiven-y-s10986
2024.03.30 16:40:13.109085 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//siyah-nitril-eldiven-y-s10986 
2024.03.30 16:40:17.055961 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 39386
2024.03.30 16:40:17.301812 | INFO | Miner | GetRandomURL | Miner(0) | URL: /l-oreal-paris/loreal-paris-color-riche-ruj-nude-intense-179-p-789838764
2024.03.30 16:40:17.302807 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//l-oreal-paris/loreal-paris-color-riche-ruj-nude-intense-179-p-789838764 
2024.03.30 16:40:21.805685 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 39400
2024.03.30 16:40:22.012859 | INFO | Miner | GetRandomURL | Miner(0) | URL: /dexter/dx686208-33-p-251058267
2024.03.30 16:40:22.013859 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//dexter/dx686208-33-p-251058267 
2024.03.30 16:40:28.405736 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 39400
2024.03.30 16:40:28.631343 | INFO | Miner | GetRandomURL | Miner(0) | URL: /carrefoursa-x-b144125
2024.03.30 16:40:28.631343 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//carrefoursa-x-b144125 
2024.03.30 16:40:32.052361 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 39448
2024.03.30 16:40:32.311509 | INFO | Miner | GetRandomURL | Miner(0) | URL: /siveno/100-dogal-roll-on-kadin-deodorant-ter-kokusu-onleyici-bitkisel-leke-birakmayan-vegan-50-ml-p-3952777
