2024.04.01 19:22:01.109090 | INFO | Main | MainInit | Program başlatılıyor.
2024.04.01 19:22:01.110157 | INFO | Main | MainStarted | Program başlatıldı.
2024.04.01 19:22:01.111172 | INFO | Main | SelectedMining | Mining seçildi.
2024.04.01 19:22:01.112338 | INFO | Miner | CreatedMiner | Yeni Miner oluşturuldu.
2024.04.01 19:22:01.113149 | INFO | Miner | MinerDidSetID | Miner'e ID:0 verildi.
2024.04.01 19:22:01.113149 | INFO | Miner | MinerInitializing | Miner(0) | Başlatılıyor.
2024.04.01 19:22:01.113149 | INFO | Miner | MinerStarted | Miner(0) | Başlatıldı.
2024.04.01 19:22:02.729195 | INFO | Miner | MinerCheckedTables | Miner(0) | Tabloları kontrol etti.
2024.04.01 19:22:02.729961 | INFO | Browser | BrowserOpen | Miner(0) | Tarayıcı açılıyor.
2024.04.01 19:22:03.335469 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com/ 
2024.04.01 19:22:09.164478 | ERROR | Database | AddingSomeVisitedLink | Miner(0) | Aynı link eklemeye çalışıldı: https://www.trendyol.com/
2024.04.01 19:22:09.239918 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68036
2024.04.01 19:22:09.431711 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//hollyhome/dekoratif-cam-vazo-17-cm-p-176874783 
2024.04.01 19:22:16.656374 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68159
2024.04.01 19:22:16.850239 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//siveno/100-dogal-yuz-temizleme-kopugu-yagli-ciltler-icin-makyaj-siyah-nokta-sivilce-vegan-100-ml-x-2-adet-p-320205092 
2024.04.01 19:22:22.115766 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68173
2024.04.01 19:22:22.305020 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//siemens-camasir-makinesi-x-b796-c103625 
2024.04.01 19:22:27.025697 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 68215
